Frage;Antwort;Fundstellen im IT-Grundschutz-Kompendium 2023
Wer trägt die Verantwortung für die Einhaltung der Vorgaben?;Führungskräfte und die Institutionsleitung tragen die Verantwortung für die Einhaltung der relevanten gesetzlichen, vertraglichen und sonstigen Vorgaben. Zuständigkeiten müssen klar festgelegt sein.;ORP.5.A2 Beachtung der Rahmenbedingungen (B) [Vorgesetzte, Zentrale Verwaltung, Institutionsleitung] Die als sicherheitsrelevant identifizierten Anforderungen MÜSSEN bei der Planung und Konzeption von Geschäftsprozessen, Anwendungen und IT-Systemen oder bei der Beschaffung neuer Komponenten einfließen. Führungskräfte, die eine rechtliche Verantwortung für die Institution tragen, MÜSSEN für die Einhaltung der gesetzlichen, vertraglichen und sonstigen Vorgaben sorgen. Die Verantwortlichkeiten und Zuständigkeiten für die Einhaltung dieser Vorgaben MÜSSEN festgelegt sein. Es MÜSSEN geeignete Maßnahmen identifiziert und umgesetzt werden, um Verstöße gegen relevante Anforderungen zu vermeiden. Wenn solche Verstöße erkannt werden, MÜSSEN sachgerechte Korrekturmaßnahmen ergriffen werden, um die Abweichungen zu beheben.
Wie müssen Anforderungen in Geschäftsprozesse und IT-Systeme integriert werden?;Sicherheitsrelevante Anforderungen müssen bereits bei Planung, Konzeption und Beschaffung von Geschäftsprozessen, Anwendungen und IT-Systemen berücksichtigt werden, um spätere Verstöße zu vermeiden. Führungskräfte müssen für die Einhaltung der Vorgaben sorgen.;ORP.5.A2 Beachtung der Rahmenbedingungen (B) [Vorgesetzte, Zentrale Verwaltung, Institutionsleitung] Die als sicherheitsrelevant identifizierten Anforderungen MÜSSEN bei der Planung und Konzeption von Geschäftsprozessen, Anwendungen und IT-Systemen oder bei der Beschaffung neuer Komponenten einfließen. Führungskräfte, die eine rechtliche Verantwortung für die Institution tragen, MÜSSEN für die Einhaltung der gesetzlichen, vertraglichen und sonstigen Vorgaben sorgen. Die Verantwortlichkeiten und Zuständigkeiten für die Einhaltung dieser Vorgaben MÜSSEN festgelegt sein. Es MÜSSEN geeignete Maßnahmen identifiziert und umgesetzt werden, um Verstöße gegen relevante Anforderungen zu vermeiden. Wenn solche Verstöße erkannt werden, MÜSSEN sachgerechte Korrekturmaßnahmen ergriffen werden, um die Abweichungen zu beheben.
Warum braucht eine Institution eigene Prozesse für Compliance Management?;Geeignete eigene Prozesse, Organisationsstrukturen und Verantwortlichkeiten (Compliance-Beauftragte) stellen sicher, dass rechtliche Anforderungen systematisch identifiziert, überwacht und in Sicherheitsmaßnahmen überführt werden können.;ORP.5.A4 Konzeption und Organisation des Compliance Managements (S) [Institutionsleitung] In der Institution SOLLTE ein Prozess aufgebaut werden, um alle relevanten gesetzlichen, vertraglichen und sonstigen Vorgaben mit Auswirkungen auf das Informationssicherheitsmanagement zu identifizieren. Es SOLLTEN geeignete Prozesse und Organisationsstrukturen aufgebaut werden, um basierend auf der Identifikation und Beachtung der rechtlichen Rahmenbedingungen, den Überblick über die verschiedenen rechtlichen Anforderungen an die einzelnen Bereiche der Institution zu gewährleisten. Dafür SOLLTEN Zuständige für das Compliance Management festgelegt werden. Compliance-Beauftragte und Informationssicherheitsbeauftragte SOLLTEN sich regelmäßig austauschen. Sie SOLLTEN gemeinsam Sicherheitsanforderungen ins Compliance Management integrieren, sicherheitsrelevante Anforderungen in Sicherheitsmaßnahmen überführen und deren Umsetzung kontrollieren.
Wie soll die Zusammenarbeit zwischen ISB und Compliance-Beauftragten erfolgen?;Compliance-Beauftragte und ISB sollten sich regelmäßig austauschen, gemeinsam Sicherheitsanforderungen ableiten und die Umsetzung geeigneter Maßnahmen kontrollieren.;ORP.5.A4 Konzeption und Organisation des Compliance Managements (S) [Institutionsleitung] In der Institution SOLLTE ein Prozess aufgebaut werden, um alle relevanten gesetzlichen, vertraglichen und sonstigen Vorgaben mit Auswirkungen auf das Informationssicherheitsmanagement zu identifizieren. Es SOLLTEN geeignete Prozesse und Organisationsstrukturen aufgebaut werden, um basierend auf der Identifikation und Beachtung der rechtlichen Rahmenbedingungen, den Überblick über die verschiedenen rechtlichen Anforderungen an die einzelnen Bereiche der Institution zu gewährleisten. Dafür SOLLTEN Zuständige für das Compliance Management festgelegt werden. Compliance-Beauftragte und Informationssicherheitsbeauftragte SOLLTEN sich regelmäßig austauschen. Sie SOLLTEN gemeinsam Sicherheitsanforderungen ins Compliance Management integrieren, sicherheitsrelevante Anforderungen in Sicherheitsmaßnahmen überführen und deren Umsetzung kontrollieren.
Wie sind Ausnahmegenehmigungen von Regelungen zu behandeln?;Abweichungen müssen begründet, nach Risikoabschätzung genehmigt, dokumentiert und zeitlich befristet werden. Zudem sollte ein formales Genehmigungsverfahren durch Vorgesetzte existieren.;ORP.5.A5 Ausnahmegenehmigungen (S) [Vorgesetzte] Ist es in Einzelfällen erforderlich, von getroffenen Regelungen abzuweichen, SOLLTE die Ausnahme begründet und durch eine autorisierte Stelle nach einer Risikoabschätzung genehmigt werden. Es SOLLTE ein Genehmigungsverfahren für Ausnahmegenehmigungen geben. Es SOLLTE eine Übersicht über alle erteilten Ausnahmegenehmigungen erstellt und gepflegt werden. Ein entsprechendes Verfahren für die Dokumentation und ein Überprüfungsprozess SOLLTE etabliert werden. Alle Ausnahmegenehmigungen SOLLTEN befristet sein.
Warum müssen Verstöße gegen Anforderungen korrigiert werden?;Werden Abweichungen festgestellt, müssen sachgerechte Korrekturmaßnahmen umgesetzt werden, um die Einhaltung der Anforderungen wiederherzustellen und zukünftige Verstöße zu verhindern.;ORP.5.A2 Beachtung der Rahmenbedingungen (B) [Vorgesetzte, Zentrale Verwaltung, Institutionsleitung] Die als sicherheitsrelevant identifizierten Anforderungen MÜSSEN bei der Planung und Konzeption von Geschäftsprozessen, Anwendungen und IT-Systemen oder bei der Beschaffung neuer Komponenten einfließen. Führungskräfte, die eine rechtliche Verantwortung für die Institution tragen, MÜSSEN für die Einhaltung der gesetzlichen, vertraglichen und sonstigen Vorgaben sorgen. Die Verantwortlichkeiten und Zuständigkeiten für die Einhaltung dieser Vorgaben MÜSSEN festgelegt sein. Es MÜSSEN geeignete Maßnahmen identifiziert und umgesetzt werden, um Verstöße gegen relevante Anforderungen zu vermeiden. Wenn solche Verstöße erkannt werden, MÜSSEN sachgerechte Korrekturmaßnahmen ergriffen werden, um die Abweichungen zu beheben.
Wie wird die Wirksamkeit des Compliance Managements überprüft?;Es sollte ein Verfahren etabliert werden, um regelmäßig Effizienz und Effektivität der Prozesse, Maßnahmen und Organisationsstrukturen des Compliance Managements zu überprüfen.;ORP.5.A8 Regelmäßige Überprüfungen des Compliance Managements (S) Es SOLLTE ein Verfahren etabliert sein, wie das Compliance Management und die sich daraus ergebenden Anforderungen und Maßnahmen regelmäßig auf ihre Effizienz und Effektivität überprüft werden (siehe auch DER.3.1 Audits und Revisionen). Es SOLLTE regelmäßig geprüft werden, ob die Organisationsstruktur und die Prozesse des Compliance Managements angemessen sind.
Wie lassen sich unterschiedliche Managementsysteme (Informationssicherheit, Datenschutz, Compliance) sinnvoll verzahnen?;Compliance Management, Informationssicherheitsmanagement und weitere Managementprozesse sollten vertrauensvoll zusammenarbeiten, um Synergien zu nutzen und Konflikte frühzeitig zu erkennen.;1.1. Einleitung In jeder Institution gibt es relevante gesetzliche, vertragliche und sonstige Vorgaben, wie z. B. interne Richtlinien, die beachtet werden müssen. Viele dieser Vorgaben haben direkte oder indirekte Auswirkungen auf das Informationssicherheitsmanagement. Die Anforderungen unterscheiden sich dabei je nach Branche, Land und anderen Rahmenbedingungen. Darüber hinaus unterliegt beispielsweise eine Behörde anderen externen Regelungen als eine Aktiengesellschaft. Die Leitungsebene der Institution muss die Einhaltung der Anforderungen („Compliance“) durch angemessene Überwachungsmaßnahmen sicherstellen. Je nach Größe einer Institution kann diese verschiedene Managementprozesse haben, die sich mit unterschiedlichen Aspekten des Risikomanagements beschäftigen. Dazu zählen beispielsweise Informationssicherheitsmanagement, Datenschutzmanagement, Compliance Management und Controlling. Die verschiedenen Einheiten sollten vertrauensvoll zusammenarbeiten, um Synergieeffekte zu nutzen und Konflikte frühzeitig auszuräumen.
Welche organisatorischen Rollen sind für Compliance Management vorgesehen?;Es sollten Zuständige für das Compliance Management festgelegt werden. Die Institutionsleitung trägt die Gesamtverantwortung, weitere Rollen unterstützen operativ.;"ORP.5.A4 Konzeption und Organisation des Compliance Managements (S) [Institutionsleitung] In der Institution SOLLTE ein Prozess aufgebaut werden, um alle relevanten gesetzlichen, vertraglichen und sonstigen Vorgaben mit Auswirkungen auf das Informationssicherheitsmanagement zu identifizieren. Es SOLLTEN geeignete Prozesse und Organisationsstrukturen aufgebaut werden, um basierend auf der Identifikation und Beachtung der rechtlichen Rahmenbedingungen, den Überblick über die verschiedenen rechtlichen Anforderungen an die einzelnen Bereiche der Institution zu gewährleisten. Dafür SOLLTEN Zuständige für das Compliance Management festgelegt werden. Compliance-Beauftragte und Informationssicherheitsbeauftragte SOLLTEN sich regelmäßig austauschen. Sie SOLLTEN gemeinsam Sicherheitsanforderungen ins Compliance Management integrieren, sicherheitsrelevante Anforderungen in Sicherheitsmaßnahmen überführen und deren Umsetzung kontrollieren.
"
Welche Maßnahmen adressieren mehrere Gefährdungen gleichzeitig?;Die Identifikation der Rahmenbedingungen (ORP.5.A1) stellt sicher, dass alle relevanten gesetzlichen, vertraglichen und sonstigen Vorgaben erfasst und dokumentiert werden, wodurch Risiken durch Rechtsverstöße und unzulässige Informationsweitergabe reduziert werden. Die Beachtung dieser Rahmenbedingungen bei der Planung, Konzeption und Beschaffung von Prozessen, Anwendungen und IT-Systemen (ORP.5.A2) sowie die klare Festlegung von Verantwortlichkeiten adressiert gleichzeitig Rechtsverstöße, unzulässige Informationsweitergabe und organisatorische Schwächen. Regelmäßige Überprüfungen des Compliance Managements (ORP.5.A8) gewährleisten, dass die Organisationsstruktur und Prozesse weiterhin angemessen sind, wodurch Rechtsverstöße und organisatorische Schwächen minimiert werden.;"""ORP.5.A1 Identifikation der Rahmenbedingungen (B) [Zentrale Verwaltung, Institutionsleitung] Alle gesetzlichen, vertraglichen und sonstigen Vorgaben mit Auswirkungen auf das Informationssicherheitsmanagement MÜSSEN identifiziert und dokumentiert werden. Die für die einzelnen Bereiche der Institution relevanten gesetzlichen, vertraglichen und sonstigen Vorgaben SOLLTEN in einer strukturierten Übersicht herausgearbeitet werden. Die Dokumentation MUSS auf dem aktuellen Stand gehalten werden."",

""ORP.5.A2 Beachtung der Rahmenbedingungen (B) [Vorgesetzte, Zentrale Verwaltung, Institutionsleitung] Die als sicherheitsrelevant identifizierten Anforderungen MÜSSEN bei der Planung und Konzeption von Geschäftsprozessen, Anwendungen und IT-Systemen oder bei der Beschaffung neuer Komponenten einfließen. Führungskräfte, die eine rechtliche Verantwortung für die Institution tragen, MÜSSEN für die Einhaltung der gesetzlichen, vertraglichen und sonstigen Vorgaben sorgen. Die Verantwortlichkeiten und Zuständigkeiten für die Einhaltung dieser Vorgaben MÜSSEN festgelegt sein. Es MÜSSEN geeignete Maßnahmen identifiziert und umgesetzt werden, um Verstöße gegen relevante Anforderungen zu vermeiden. Wenn solche Verstöße erkannt werden, MÜSSEN sachgerechte Korrekturmaßnahmen ergriffen werden, um die Abweichungen zu beheben."",

""ORP.5.A8 Regelmäßige Überprüfungen des Compliance Managements (S) Es SOLLTE ein Verfahren etabliert sein, wie das Compliance Management und die sich daraus ergebenden Anforderungen und Maßnahmen regelmäßig auf ihre Effizienz und Effektivität überprüft werden (siehe auch DER.3.1 Audits und Revisionen). Es SOLLTE regelmäßig geprüft werden, ob die Organisationsstruktur und die Prozesse des Compliance Managements angemessen sind."""
Darf ich meinen Server als normalen Arbeitsplatz nutzen?;Nein, das ist strikt untersagt. Server dürfen nicht als Arbeitsplatzrechner genutzt werden und nicht für Aufgaben verwendet werden, die auf Client-Systemen durchgeführt werden können. Auch Webbrowser dürfen nicht zum Internet-Zugriff genutzt werden.;SYS.1.1.A1 Zugriffsschutz und Nutzung (B) Physische Server MÜSSEN an Orten betrieben werden, zu denen nur berechtigte Personen Zutritt haben. Physische Server MÜSSEN daher in Rechenzentren, Serverräumen oder abschließbaren Serverschränken aufgestellt beziehungsweise eingebaut werden (siehe hierzu die entsprechenden Bausteine der Schicht INF Infrastruktur). Bei virtualisierten Servern MUSS der Zugriff auf die Ressourcen der Instanz und deren Konfiguration ebenfalls auf die berechtigten Personen begrenzt werden. Server DÜRFEN NICHT als Arbeitsplatzrechner genutzt werden. Server DÜRFEN NICHT zur Erledigung von Aufgaben und Tätigkeiten verwendet werden, die grundsätzlich auf einem ClientSystem aus- und durchgeführt werden können. Insbesondere DÜRFEN vorhandene Anwendungen, wie Webbrowser, auf dem Server NICHT für das Abrufen von Informationen aus dem Internet oder das Herunterladen von Software, Treibern und Updates verwendet werden. Als Arbeitsplatz genutzte IT-Systeme DÜRFEN NICHT als Server genutzt werden.
Welche weiterführenden Informationen gibt es zu den Anforderungen an den Aufstellungsort von physischen Servern?;Das National Institute of Standards and Technology (NIST) stellt das Dokument „Guide to General Server Security: NIST Special Publication 800-123“, Juli 2008 zur Verfügung.;"4. Weiterführende Informationen
4.1. Wissenswertes
Das National Institute of Standards and Technology (NIST) stellt das Dokument „Guide to General Server Security: NIST Special Publication 800-123“, Juli 2008 zur Verfügung."
Welche Ereignisse muss ich bei einem Serversystem mindestens protokollieren?;Protokollieren Sie: Systemstarts/Reboots, erfolgreiche und erfolglose Anmeldungen, fehlgeschlagene Berechtigungsprüfungen, blockierte Datenströme, Einrichtung/Änderungen von Benutzern und Berechtigungen, sicherheitsrelevante Fehlermeldungen sowie Warnmeldungen von Sicherheitssystemen.;"SYS.1.1.A10 Protokollierung (B) Generell MÜSSEN alle sicherheitsrelevanten Systemereignisse protokolliert werden, dazu gehören mindestens:

• Systemstarts und Reboots,

• erfolgreiche und erfolglose Anmeldungen am IT-System (Betriebssystem und Anwendungssoftware),

• fehlgeschlagene Berechtigungsprüfungen,

• blockierte Datenströme (Verstöße gegen ACLs oder Firewallregeln),

• Einrichtung oder Änderungen von Benutzenden, Gruppen und Berechtigungen,

• sicherheitsrelevante Fehlermeldungen (z. B. Hardwaredefekte, Überschreitung von Kapazitätsgrenzen) sowie

• Warnmeldungen von Sicherheitssystemen (z. B. Virenschutz)."
Was muss ich bei der Planung des Einsatzes eines neuen Servers in meiner Infrastruktur beachten?;Berücksichtigen Sie: Plattform-/Betriebssystem-/Software-Auswahl, Hardware-Dimensionierung, Kommunikationsschnittstellen, Leistungsaufnahme und Platzbedarf, administrative Zugänge, Benutzerzugriffe, Protokollierung, Aktualisierungen sowie Einbindung in Management-Systeme und Datensicherung. Dokumentieren Sie alle Entscheidungen.;"SYS.1.1.A12 Planung des Server-Einsatzes (S) Jedes Server-System SOLLTE geeignet geplant werden. Dabei SOLLTEN mindestens folgende Punkte berücksichtigt werden:

• Auswahl der Plattform (Hardware oder virtualisierte Ressourcen), des Betriebssystems und der Anwendungssoftware,

• Dimensionierung der Hardware (Leistung, Speicher, Bandbreite etc.),

• Art und Anzahl der Kommunikationsschnittstellen,

• Leistungsaufnahme, Wärmelast, Platzbedarf und Bauform,

• administrative Zugänge (siehe SYS.1.1.A5 Schutz von Schnittstellen),

• Zugriffe von Benutzenden,

• Protokollierung (siehe SYS.1.1.A10 Protokollierung),

• Aktualisierung von Betriebssystem und Anwendungen sowie

• Einbindung ins System- und Netzmanagement, in die Datensicherung und die Schutzsysteme (Virenschutz, IDS etc.).

Alle Entscheidungen, die in der Planungsphase getroffen wurden, SOLLTEN so dokumentiert werden, dass sie zu einem späteren Zeitpunkt nachvollzogen werden können."
Wie sollte die Installation und Grundkonfiguration ablaufen?;Installation und Konfiguration sollten in einer gesonderten, von Produktivsystemen getrennten Umgebung erfolgen. Konfigurieren Sie vor produktiver Inbetriebnahme, verteilen Sie Funktionen auf mehrere Server, konfigurieren und testen Sie sicherheitsrelevante Einstellungen und verbinden Sie erst nach Abschluss mit dem Internet.;SYS.1.1.A16 Sichere Installation und Grundkonfiguration von Servern (S) Der vollständige Installations- und Konfigurationsvorgang SOLLTE soweit wie möglich innerhalb einer gesonderten und von Produktivsystemen abgetrennten Installationsumgebung vorgenommen werden. Die Konfiguration des Betriebssystems SOLLTE vor produktiver Inbetriebnahme des Servers bereits vorgenommen sein. Mehrere wesentliche Funktionen und Rollen SOLLTEN NICHT durch einen einzigen Server erfüllt, sondern geeignet aufgeteilt werden. Alle sicherheitsrelevanten Einstellungen der aktivierten Dienste und Funktionen (vgl. SYS.1.1.A6 Deaktivierung nicht benötigter Dienste) SOLLTEN entsprechend den Vorgaben der Sicherheitsrichtlinie für Server (siehe SYS.1.1.A11 Festlegung einer Sicherheitsrichtlinie für Server) konfiguriert, getestet und regelmäßig inhaltlich überprüft werden. Dabei SOLLTE der Server unter Berücksichtigung der Empfehlungen des Betriebssystemherstellers und des voreingestellten Standardverhaltens konfiguriert werden, sofern dies nicht anderen Anforderungen aus dem IT-Grundschutz oder der Organisation widerspricht. Die Entscheidungen SOLLTEN dokumentiert und begründet werden. Konfigurationsoptionen SOLLTEN in jedem Fall gesetzt werden, auch dann, wenn das voreingestellte Standardverhalten dadurch nicht verändert wird. Sofern der Server eine Verbindung in das Internet benötigt oder aus dem Internet erreichbar sein muss, SOLLTE er erst mit dem Internet verbunden werden, nachdem die Installation und die Konfiguration abgeschlossen sind.
Was muss in der Betriebsdokumentation enthalten sein?;Dokumentieren Sie nachvollziehbar alle betrieblichen Aufgaben (Wer, Wann, Was), insbesondere Konfigurationsänderungen und sicherheitsrelevante Aufgaben. Nutzen Sie automatische Dokumentation wo möglich. Schützen Sie die Dokumentation gegen unbefugten Zugriff und Verlust.;SYS.1.1.A21 Betriebsdokumentation für Server (S) Betriebliche Aufgaben, die an einem Server durchgeführt werden, SOLLTEN nachvollziehbar dokumentiert werden (Wer?, Wann?, Was?). Aus der Dokumentation SOLLTEN insbesondere Konfigurationsänderungen nachvollziehbar sein. Sicherheitsrelevante Aufgaben, z. B. wer befugt ist, neue Festplatten einzubauen, SOLLTEN dokumentiert werden. Alles, was automatisch dokumentiert werden kann, SOLLTE auch automatisch dokumentiert werden. Die Dokumentation SOLLTE gegen unbefugten Zugriff und Verlust geschützt werden.
Wie binde ich Server in die Notfallplanung ein?;Berücksichtigen Sie Server im Notfallmanagementprozess. Ermitteln Sie Notfallanforderungen und setzen Sie geeignete Maßnahmen um, beispielsweise durch Erstellung von Wiederanlaufplänen oder sichere Hinterlegung von Passwörtern und kryptografischen Schlüsseln.;SYS.1.1.A22 Einbindung in die Notfallplanung (S) Der Server SOLLTE im Notfallmanagementprozess berücksichtigt werden. Dazu SOLLTEN die Notfallanforderungen an den Server ermittelt und geeignete Notfallmaßnahmen umgesetzt werden, z. B. indem Wiederanlaufpläne erstellt oder Passwörter und kryptografische Schlüssel sicher hinterlegt werden.
Welche Sicherheitsprüfungen für Serversysteme sollte ich durchführen?;Unterziehen Sie Server regelmäßigen Sicherheitstests, besonders solche mit externen Schnittstellen. Auch interne Server sollten in festgelegten Zyklen geprüft werden. Prüfen Sie, ob Tests automatisiert mittels Skripten realisiert werden können.;SYS.1.1.A24 Sicherheitsprüfungen für Server (S) Server SOLLTEN regelmäßigen Sicherheitstests unterzogen werden, die überprüfen, ob alle Sicherheitsvorgaben eingehalten werden und gegebenenfalls vorhandene Schwachstellen identifizieren. Diese Sicherheitsprüfungen SOLLTEN insbesondere auf Servern mit externen Schnittstellen durchgeführt werden. Um mittelbare Angriffe über infizierte IT-Systeme im eigenen Netz zu vermeiden, SOLLTEN jedoch auch interne Server in festgelegten Zyklen entsprechend überprüft werden. Es SOLLTE geprüft werden, ob die Sicherheitsprüfungen automatisiert, z. B. mittels geeigneter Skripte, realisiert werden können.
Was muss ich bei der Außerbetriebnahme von Servern beachten?;Stellen Sie sicher, dass keine wichtigen Daten verloren gehen und keine schutzbedürftigen Daten zurückbleiben. Rechtzeitig sollten Dienste migriert werden. Erstellen Sie eine Checkliste mit Aspekten zu Datensicherung, Migration von Diensten und sicherem Löschen.;SYS.1.1.A25 Geregelte Außerbetriebnahme eines Servers (S) Bei der Außerbetriebnahme eines Servers SOLLTE sichergestellt werden, dass keine wichtigen Daten, die eventuell auf den verbauten Datenträgern gespeichert sind, verloren gehen und dass keine schutzbedürftigen Daten zurückbleiben. Es SOLLTE einen Überblick darüber geben, welche Daten wo auf dem Server gespeichert sind. Es SOLLTE rechtzeitig sichergestellt werden, dass vom Server angebotene Dienste durch einen anderen Server übernommen werden, wenn dies erforderlich ist. Es SOLLTE eine Checkliste erstellt werden, die bei der Außerbetriebnahme eines Servers abgearbeitet werden kann. Diese Checkliste SOLLTE mindestens Aspekte zu Datensicherung, Migration von Diensten und dem anschließenden sicheren Löschen aller Daten umfassen.
Wie kann ich sicherheitskritische Anwendungen besser isolieren?;Kapseln oder isolieren Sie Anwendungen und Betriebssystemkomponenten (wie Authentisierung, Zertifikatsüberprüfung) entsprechend ihrem Schutzbedarf. Berücksichtigen Sie besonders sicherheitskritische Anwendungen, die mit Daten aus unsicheren Quellen arbeiten, wie Webbrowser und Bürokommunikations-Anwendungen.;SYS.1.1.A37 Kapselung von sicherheitskritischen Anwendungen und Betriebssystemkomponenten (S) Um sowohl den unberechtigten Zugriff auf das Betriebssystem oder andere Anwendungen bei Angriffen als auch den Zugriff vom Betriebssystem auf besonders schützenswerte Dateien zu verhindern, SOLLTEN Anwendungen und Betriebssystemkomponenten (wie beispielsweise Authentisierung oder Zertifikatsüberprüfung) ihrem Schutzbedarf entsprechend besonders gekapselt oder anderen Anwendungen und Betriebssystemkomponenten gegenüber isoliert werden. Dabei SOLLTEN insbesondere sicherheitskritische Anwendungen berücksichtigt werden, die mit Daten aus unsicheren Quellen arbeiten (z. B. Webbrowser und Bürokommunikations-Anwendungen).
Welche Maßnahmen steigern die Verfügbarkeit und schützen vor Ausfällen?;Server mit hohen Verfügbarkeitsanforderungen sollten gegen Ausfälle geschützt werden. Dazu sind mindestens geeignete Redundanzen erforderlich und Wartungsverträge mit den Lieferanten abzuschließen. Bei sehr hohen Anforderungen ist zu prüfen, ob Hochverfügbarkeitsarchitekturen mit automatischem Failover notwendig sind, die gegebenenfalls auch über verschiedene Standorte hinweg realisiert werden sollten.;SYS.1.1.A28 Steigerung der Verfügbarkeit durch Redundanz (H) Server mit hohen Verfügbarkeitsanforderungen SOLLTEN gegen Ausfälle in geeigneter Weise geschützt sein. Hierzu SOLLTEN mindestens geeignete Redundanzen verfügbar sein sowie Wartungsverträge mit den Lieferanten abgeschlossen werden. Es SOLLTE geprüft werden, ob bei sehr hohen Anforderungen Hochverfügbarkeitsarchitekturen mit automatischem Failover, gegebenenfalls über verschiedene Standorte hinweg, erforderlich sind.
Wie setze ich Ausführungskontrolle wirksam ein?;Stellen Sie sicher, dass nur explizit erlaubte Programme und Skripte ausgeführt werden. Fassen Sie Regeln so eng wie möglich. Nutzen Sie bevorzugt Pfade und Hashes, alternativ zertifikatsbasierte oder Pfad-Regeln.;SYS.1.1.A31 Einsatz von Ausführungskontrolle (H) Es SOLLTE über eine Ausführungskontrolle sichergestellt werden, dass nur explizit erlaubte Programme und Skripte ausgeführt werden können. Die Regeln SOLLTEN so eng wie möglich gefasst werden. Falls Pfade und Hashes nicht explizit angegeben werden können, SOLLTEN alternativ auch zertifikatsbasierte oder Pfad-Regeln genutzt werden.
Wie manage ich Wurzelzertifikate im Zuge der Beschaffung und Installation von Servern ?;Dokumentieren Sie bei Beschaffung und Installation notwendige Wurzelzertifikate. Installieren Sie nur vorab dokumentierte, notwendige Zertifikate. Überprüfen Sie regelmäßig alle Zertifikatsspeicher auf Konformität mit Institutionsvorgaben.;SYS.1.1.A33 Aktive Verwaltung der Wurzelzertifikate (H) Im Zuge der Beschaffung und Installation des Servers SOLLTE dokumentiert werden, welche Wurzelzertifikate für den Betrieb des Servers notwendig sind. Auf dem Server SOLLTEN lediglich die für den Betrieb notwendigen und vorab dokumentierten Wurzelzertifikate enthalten sein. Es SOLLTE regelmäßig überprüft werden, ob die vorhandenen Wurzelzertifikate noch den Vorgaben der Institution entsprechen. Es SOLLTEN alle auf dem IT-System vorhandenen Zertifikatsspeicher in die Prüfung einbezogen werden.
Wie sichere ich den Bootvorgang ab?;Bootloader und Betriebssystem-Kern SOLLTEN durch selbstkontrolliertes Schlüsselmaterial signiert beim Systemstart in einer vertrauenswürdigen Kette geprüft werden (Secure Boot). Nicht benötigtes Schlüsselmaterial SOLLTE entfernt werden.;SYS.1.1.A36 Absicherung des Bootvorgangs (H) Bootloader und Betriebssystem-Kern SOLLTEN durch selbstkontrolliertes Schlüsselmaterial signiert beim Systemstart in einer vertrauenswürdigen Kette geprüft werden (Secure Boot). Nicht benötigtes Schlüsselmaterial SOLLTE entfernt werden.
Welche Windows Server Version soll ich einsetzen?;Es MUSS eine begründete und dokumentierte Entscheidung für eine geeignete Edition von Windows Server getroffen werden. Der Einsatzzweck des Servers sowie die Einbindung ins Active Directory MÜSSEN dabei spezifiziert werden. Die Nutzung von mitgelieferten Cloud-Diensten im Betriebssystem MUSS grundsätzlich abgewogen und gründlich geplant werden. Wenn nicht benötigt, MUSS die Einrichtung von Microsoft-Konten auf dem Server blockiert werden.;SYS.1.2.3.A1 Planung von Windows Server (B) Es MUSS eine begründete und dokumentierte Entscheidung für eine geeignete Edition von Windows Server getroffen werden. Der Einsatzzweck des Servers sowie die Einbindung ins Active Directory MÜSSEN dabei spezifiziert werden. Die Nutzung von mitgelieferten Cloud-Diensten im Betriebssystem MUSS grundsätzlich abgewogen und gründlich geplant werden. Wenn nicht benötigt, MUSS die Einrichtung von Microsoft-Konten auf dem Server blockiert werden.
Muss ich immer die Server-Core-Variante von Windows installieren?;Ja, wenn der Funktionsumfang ausreichend ist, müssen Sie die Server-Core-Variante installieren. Nur wenn diese nicht genügt, dürfen Sie die Vollversion nutzen - dies muss aber begründet werden.;SYS.1.2.3.A2 Sichere Installation von Windows Server (B) Wenn vom Funktionsumfang her ausreichend, MUSS die Server-Core-Variante installiert werden. Andernfalls MUSS begründet werden, warum die Server-Core-Variante nicht genügt.
Was muss ich wegen Telemetrie und Datenübertragung an Microsoft beachten?;Sie müssen das Telemetrie-Level 0 (Security) konfigurieren, um Diagnose- und Nutzungsdaten stark zu reduzieren. Wenn dies nicht wirksam umgesetzt wird, müssen Sie durch Maßnahmen auf Netzebene sicherstellen, dass keine Daten an Microsoft übertragen werden.;SYS.1.2.3.A3 Telemetrie- und Nutzungsdaten unter Windows Server (B) Um die Übertragung von Diagnose- und Nutzungsdaten an Microsoft stark zu reduzieren, MUSS das Telemetrie-Level 0 (Security) auf dem Windows Server konfiguriert werden. Wenn diese Einstellung nicht wirksam umgesetzt wird, dann MUSS durch geeignete Maßnahmen, etwa auf Netzebene, sichergestellt werden, dass die Daten nicht an den Hersteller übertragen werden.
Wie sichere ich die Authentisierung in Windows Server ab?;"Alle Benutzerkonten sollten Mitglied der Sicherheitsgruppe ""Protected Users"" sein. Dienste- und Computer-Konten sollten nicht Mitglied dieser Gruppe sein. Dienste-Konten sollten Mitglied der Gruppe ""Managed Service Account"" sein.";SYS.1.2.3.A5 Sichere Authentisierung und Autorisierung in Windows Server (S) In Windows Server SOLLTEN alle Konten von Benutzenden Mitglied der Sicherheitsgruppe „Protected Users“ sein. Konten für Dienste und Computer SOLLTEN NICHT Mitglied von „Protected Users“ sein. Dienste-Konten in Windows Server SOLLTEN Mitglied der Gruppe „Managed Service Account“ sein.
